,COUNTRY,C_ALPHAN,TRDBR,MNC,TRDPR,AUTO,IOPWR,GLBCTZ,IMMCRM,IMMGOOD,IMMJOB,IMMNEWCUL,IMMBADCUL,IMMEQURIGHT,IMMEXCLUDED,IMMEDU,IMMNUM,SEX,BIRTH,AGE,EDUCYRS,DEGREE,WORK,WRKHRS,EMPREL,NEMPLOY,WRKSUP,NSUP,TYPORG1,TYPORG2,ISCO88,MAINSTAT,PARTLIV,SPWORK,SPWRKHRS,SPEMPREL,SPWRKSUP,SPISCO88,SPMAINST,UNION,TOPBOT,VOTE_LE,BE_PRTY,CH_PRTY,CZ_PRTY,DE_PRTY,DK_PRTY,EE_PRTY,ES_PRTY,FI_PRTY,FR_PRTY,GB_PRTY,GE_PRTY,HR_PRTY,HU_PRTY,IE_PRTY,IL_PRTY,IN_PRTY,IS_PRTY,JP_PRTY,KR_PRTY,LT_PRTY,LV_PRTY,MX_PRTY,NO_PRTY,PH_PRTY,PT_PRTY,RU_PRTY,SE_PRTY,SI_PRTY,SK_PRTY,TR_PRTY,TW_PRTY,US_PRTY,ZA_PRTY,PARTY_LR,HHCHILDR,HHTODD,HOMPOP,US_INC,ZA_INC,MARITAL,URBRURAL,CASEID,names,UNEMP,TRAINEE,hhinc,inc_st
287,840,US,4,4,4,4,4,2,4,2,2,2,4,4,2,2,3,2,1965,49,11,2,2,0,1,0,0,0,NA,2,3231,NA,3,NA,0,0,0,NA,0,1,8,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,1,11250,NA,3,1,2.01308E+14,United States,0,0,11250,0.936807229
288,840,US,3,2,3,4,3,4,3,3,4,2,4,3,2,3,3,2,1972,42,16,5,1,26,1,0,1,0,NA,2,5123,1,1,1,65,1,0,3132,1,3,6,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,1,0,3,55000,NA,1,2,2.01308E+14,United States,0,0,55000,0
289,840,US,1,2,4,4,1,3,4,4,4,2,4,5,1,1,4,2,1968,46,12,3,1,65,1,0,2,0,NA,2,3231,1,2,1,72,1,0,3111,1,3,5,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,1,55000,NA,1,2,2.01308E+14,United States,0,0,55000,0
290,840,US,1,2,4,4,2,2,4,2,2,2,3,1,4,2,4,1,1963,51,12,3,1,63,1,0,2,0,NA,2,8322,1,3,NA,0,0,0,NA,0,1,8,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,3,990,6,0,0,1,1.00E+05,NA,4,1,2.01308E+14,United States,0,0,1.00E+05,0.96357315
291,840,US,1,2,2,4,2,2,4,2,4,2,4,4,3,2,3,2,1935,79,14,4,2,0,1,0,0,0,NA,2,3231,NA,3,NA,0,0,0,NA,0,3,4,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,3,32500,NA,5,1,2.01308E+14,United States,0,0,32500,0.481786575
292,840,US,2,2,NA,4,3,4,4,4,2,3,2,2,4,2,4,2,1983,31,14,3,1,30,2,0,2,0,NA,2,8141,1,3,NA,0,0,0,NA,0,3,5,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,2,18750,NA,4,1,2.01308E+14,United States,0,0,18750,0.776211704
293,840,US,2,NA,3,NA,4,4,4,3,3,3,4,4,4,2,NA,2,1950,64,16,5,2,0,1,0,0,0,NA,1,4142,6,NA,NA,NA,NA,0,NA,NA,0,7,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,1,23750,NA,9,1,2.01308E+14,United States,0,0,23750,0.669148021
294,840,US,1,2,4,2,2,2,2,2,2,2,NA,4,2,4,5,1,1935,79,11,2,2,0,2,0,0,0,NA,2,9211,6,3,NA,0,0,0,NA,0,3,6,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,0,0,1,13750,NA,5,2,2.01308E+14,United States,0,0,13750,0.883275387
295,840,US,4,2,3,3,3,3,NA,NA,4,2,NA,2,NA,1,3,1,1995,19,12,3,1,52,1,0,2,0,NA,2,5220,1,3,NA,0,0,0,NA,0,3,6,0,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,0,0,2,160000,NA,6,2,2.01308E+14,United States,0,0,160000,2.24833735
296,840,US,4,3,2,3,3,4,5,2,4,2,5,2,5,2,3,1,1974,40,9,3,1,42,1,0,2,0,NA,2,9140,1,1,3,0,0,0,NA,NA,0,6,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,3,1,6,37500,NA,1,1,2.01308E+14,United States,0,0,37500,0.374722892
297,840,US,4,2,3,3,3,2,2,2,2,2,3,3,4,3,3,2,1982,32,13,3,1,53,1,0,2,0,NA,2,4131,1,1,NA,0,0,0,1319,0,0,4,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,1,1,4,7500,NA,3,1,2.01308E+14,United States,0,0,7500,1.017104992
298,840,US,2,4,2,2,2,2,2,1,4,1,4,2,4,1,3,2,1967,47,12,3,2,0,1,0,0,0,NA,2,5141,7,1,1,40,1,0,1319,1,0,9,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,2,0,4,27500,NA,1,1,2.01308E+14,United States,0,0,27500,0.588850258
299,840,US,2,2,2,3,3,4,4,3,3,3,3,4,3,1,4,2,1982,32,14,3,1,50,1,0,1,0,NA,2,3415,1,1,1,50,1,0,9151,1,3,4,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,3,990,6,2,2,6,1.00E+05,NA,1,1,2.01308E+14,United States,0,0,1.00E+05,0.96357315
300,840,US,1,3,3,3,3,3,3,2,2,2,2,3,2,3,3,1,1957,57,12,3,1,40,1,0,2,0,NA,2,9152,1,3,NA,0,0,0,NA,0,0,4,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,0,0,1,27500,NA,4,1,2.01308E+14,United States,0,0,27500,0.588850258
301,840,US,3,3,2,3,4,4,4,3,4,2,4,2,4,2,3,1,1954,60,12,3,1,50,1,0,2,0,NA,2,8322,1,1,3,0,0,0,NA,NA,3,4,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,1,0,3,45000,NA,1,1,2.01308E+14,United States,0,0,45000,0.214127367
302,840,US,2,2,2,3,3,2,4,3,4,2,4,4,2,2,4,2,1967,47,20,6,1,24,2,0,2,0,NA,2,2331,1,1,1,45,2,0,1233,1,3,8,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,0,0,2,140000,NA,1,1,2.01308E+14,United States,0,0,140000,1.820082617
303,840,US,3,3,2,3,3,3,1,2,3,2,2,2,1,1,5,2,1957,57,14,4,1,55,1,0,2,0,NA,2,3118,1,3,NA,0,0,0,NA,0,3,5,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,0,0,1,55000,NA,6,1,2.01308E+14,United States,0,0,55000,0
304,840,US,NA,4,1,1,5,1,5,2,5,1,5,3,4,2,2,1,1949,65,18,6,1,60,1,0,1,0,NA,2,1235,1,3,NA,0,0,0,NA,0,3,10,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,1,160000,NA,4,1,2.01308E+14,United States,0,0,160000,2.24833735
305,840,US,3,2,2,3,2,1,4,3,3,2,4,4,2,2,3,1,1934,80,14,3,2,0,1,0,0,0,NA,2,1226,6,1,1,45,1,0,4115,1,0,4,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,0,0,2,82500,NA,1,1,2.01308E+14,United States,0,0,82500,0.588850258
